Town,Donations,real.town.name
Andover,11,Andover
Ansonia,20,Ansonia
Ashford,12,Ashford
Avon,70,Avon
Barkhamsted,5,Barkhamsted
Pleasant Valley,5,Barkhamsted
Beacon Falls,1,Beacon Falls
Berlin,31,Berlin
East Berlin,11,Berlin
Kensington,6,Berlin
Bethany,27,Bethany
Bethel,40,Bethel
Bethlehem,5,Bethlehem
Bloomfield,48,Bloomfield
Bolton,9,Bolton
Bozrah,7,Bozrah
Branford,70,Branford
Bridgeport,130,Bridgeport
Bridgewater,26,Bridgewater
Bristol,107,Bristol
Brookfield,55,Brookfield
Brooklyn,2,Brooklyn
Burlington,21,Burlington
Canaan,2,Canaan
Canterbury,19,Canterbury
Canton,23,Canton
Collinsville,8,Canton
Chaplin,19,Chaplin
Cheshire,95,Cheshire
Chester,8,Chester
Clinton,35,Clinton
Colchester,144,Colchester
Colebrook,9,Colebrook
Columbia,1,Columbia
Cornwall,2,Cornwall
Cornwall Bridge,3,Cornwall
West Cornwall,16,Cornwall
Coventry,13,Coventry
Cromwell,17,Cromwell
Danbury,125,Danbury
Darien,211,Darien
Deep River,29,Deep River
Derby,1,Derby
Durham,20,Durham
East Granby,22,East Granby
East Haddam,5,East Haddam
Moodus,10,East Haddam
East Hampton,18,East Hampton
East Hartford,25,East Hartford
East Haven,51,East Haven
East Lyme,33,East Lyme
Niantic,38,East Lyme
Broad Brook,29,East Windsor
East Windsor,5,East Windsor
Eastford,8,Eastford
Easton,29,Easton
Ellington,11,Ellington
Enfield,36,Enfield
Centerbrook,4,Essex
Essex,40,Essex
Ivoryton,5,Essex
Fairfield,301,Fairfield
Southport,113,Fairfield
Farmington,78,Farmington
Unionville,12,Farmington
North Franklin,5,Franklin
Glastonbury,127,Glastonbury
S Glastonbury,4,Glastonbury
South Glastonbury,22,Glastonbury
Goshen,5,Goshen
Granby,20,Granby
North Granby,18,Granby
West Granby,11,Granby
Cos Cob,45,Greenwich
Greenwich,768,Greenwich
Old Greenwich,78,Greenwich
Riverside,113,Greenwich
Griswold,2,Griswold
Jewett City,10,Griswold
Groton,23,Groton
Guilford,115,Guilford
Haddam,1,Haddam
Haddam Neck,5,Haddam
Higganum,11,Haddam
Middle Haddam,2,Haddam
Hamden,184,Hamden
Hampton,14,Hampton
Hartford,113,Hartford
Harwinton,6,Harwinton
Amston,4,Hebron
Hebron,11,Hebron
Kent,39,Kent
South Kent,1,Kent
Danielson,5,Killingly
Dayville,8,Killingly
Killingworth,49,Killingworth
Lebanon,25,Lebanon
Gales Ferry,13,Ledyard
Ladyard,4,Ledyard
Ledyard,25,Ledyard
Lisbon,9,Lisbon
Versailles,2,Lisbon
Bantam,8,Litchfield
Litchfield,62,Litchfield
Lyme,20,Lyme
Madison,89,Madison
Manchester,89,Manchester
Mansfield Center,29,Mansfield
Storrs,19,Mansfield
Storrs Manfld,3,Mansfield
Storrs Mansfield,13,Mansfield
Marlborough,5,Marlborough
Meriden,51,Meriden
Middlebury,86,Middlebury
Middlefield,33,Middlefield
Rockfall,1,Middlefield
Middletown,116,Middletown
Milford,208,Milford
Monroe,51,Monroe
Oakdale,28,Montville
Uncasville,14,Montville
Morris,4,Morris
Naugatuck,17,Naugatuck
New Britain,51,New Britain
New Canaan,388,New Canaan
New Fairfield,18,New Fairfield
New Hartford,17,New Hartford
New Haven,399,New Haven
New London,55,New London
Gaylordsville,4,New Milford
New Milford,94,New Milford
Newington,36,Newington
Newtown,81,Newtown
Sandy Hook,59,Newtown
Norfolk,8,Norfolk
N Branford,1,North Branford
North Branford,10,North Branford
Northford,10,North Branford
East Canaan,4,North Canaan
Falls Village,18,North Canaan
North Haven,102,North Haven
North Stonington,7,North Stonington
Norwalk,281,Norwalk
Nowalk,1,Norwalk
Rowayton,6,Norwalk
Norwich,156,Norwich
Taftville,2,Norwich
Old Lyme,60,Old Lyme
South Lyme,4,Old Lyme
Old Saybrook,43,Old Saybrook
Orange,44,Orange
Oxford,22,Oxford
Plainfield,6,Plainfield
Plainville,26,Plainville
Plymouth,1,Plymouth
Terryville,24,Plymouth
Pomfret,2,Pomfret
Pomfret Center,2,Pomfret
Pomfret Center,2,Pomfret
Pomfret Ctr,1,Pomfret
Portland,51,Portland
Preston,16,Preston
Prospect,16,Prospect
Putnam,5,Putnam
Georgetown,2,Redding
Redding,48,Redding
Redding Ridge,1,Redding
Ridgefield,208,Ridgefield
Rocky Hill,34,Rocky Hill
Roxbury,17,Roxbury
Salem,10,Salem
Lakeville,10,Salisbury
Salisbury,22,Salisbury
Taconic,2,Salisbury
Seymour,27,Seymour
Sharon,26,Sharon
Huntington,4,Shelton
Shelton,77,Shelton
Sherman,23,Sherman
Simsbury,75,Simsbury
Tariffville,8,Simsbury
Weatogue,11,Simsbury
West Simsbury,15,Simsbury
Somers,7,Somers
Somersville,16,Somers
South Windsor,27,South Windsor
Southbury,76,Southbury
Marion,2,Southington
Plantsville,12,Southington
Southington,40,Southington
Baltic,2,Sprague
Versailles,2,Sprague
Stafford Springs,12,Stafford
Stamford,552,Stamford
Sterling,31,Sterling
Mystic,107,Stonington
Pawcatuck,11,Stonington
Stonington,60,Stonington
Stratford,69,Stratford
Suffield,23,Suffield
West Suffield,24,Suffield
Thomaston,1,Thomaston
Thompson,5,Thompson
Tolland,34,Tolland
Torrington,28,Torrington
Trumbull,143,Trumbull
Vernon,24,Vernon
Vernon Rockville,3,Vernon
Voluntown,5,Voluntown
Wallingford,82,Wallingford
Warren,6,Warren
New Preston,4,Washington
New Preston Marble,2,Washington
New Preston Marble Dale,4,Washington
Washington,24,Washington
Washington Depot,24,Washington
Washington Dt,5,Washington
Waterbury,117,Waterbury
Waterford,40,Waterford
Oakville,1,Watertown
Watertown,23,Watertown
West Hartford,357,West Hartford
West Haven,61,West Haven
Westbrook,18,Westbrook
Weston,100,Weston
Greens Farms,1,Westport
Westport,326,Westport
Wethersfield,77,Wethersfield
Willington,19,Willington
Wilton,78,Wilton
Winsted,10,Winchester
North Windham,1,Windham
South Windham,3,Windham
Willimantic,13,Windham
Windsor,59,Windsor
Windsor Locks,25,Windsor Locks
Windsor Loks,1,Windsor Locks
Wolcott,6,Wolcott
Woodbridge,56,Woodbridge
Woodbury,49,Woodbury
Woodstock,10,Woodstock
