Town,BLL5,BLL10,BLL15,BLL20
Andover,1,1,0,0
Ansonia,11,3,2,1
Ashford,1,1,0,0
Avon,1,1,1,1
Barkhamsted,0,0,0,0
Beacon Falls,0,0,0,0
Berlin,2,1,0,0
Bethany,0,1,0,0
Bethel,2,0,0,0
Bethlehem,0,0,0,0
Bloomfield,6,0,0,0
Bolton,0,0,0,0
Bozrah,0,0,0,0
Branford,2,0,0,0
Bridgeport,275,66,26,13
Bridgewater,0,0,0,0
Bristol,21,8,4,2
Brookfield,1,1,0,0
Brooklyn,1,1,0,0
Burlington,1,0,0,0
Canaan,2,0,0,0
Canterbury,4,1,1,0
Canton,0,0,0,0
Chaplin,0,0,0,0
Cheshire,1,0,0,0
Chester,3,0,0,0
Clinton,2,0,0,0
Colchester,0,0,0,0
Colebrook,1,0,0,0
Columbia,0,0,0,0
Cornwall,2,0,0,0
Coventry,1,0,0,0
Cromwell,1,1,0,0
Danbury,23,6,3,3
Darien,1,0,0,0
Deep River,2,0,0,0
Derby,7,1,0,0
Durham,0,0,0,0
East Granby,0,0,0,0
East Haddam,1,0,0,0
East Hampton,4,0,0,0
East Hartford,15,6,2,2
East Haven,6,3,1,0
East Lyme,1,0,0,0
East Windsor,3,1,1,0
Eastford,0,0,0,0
Easton,0,0,0,0
Ellington,1,0,0,0
Enfield,7,1,0,0
Essex,0,0,0,0
Fairfield,5,1,0,0
Farmington,1,0,0,0
Franklin,0,0,0,0
Glastonbury,2,0,0,0
Goshen,0,0,0,0
Granby,1,0,0,0
Greenwich,8,4,2,2
Griswold,12,1,1,1
Groton,5,3,1,0
Guilford,1,1,0,0
Haddam,1,0,0,0
Hamden,18,5,1,1
Hampton,0,0,0,0
Hartford,109,22,11,7
Hartland,0,0,0,0
Harwinton,0,0,0,0
Hebron,0,0,0,0
Kent,1,0,0,0
Killingly,8,2,1,0
Killingworth,0,0,0,0
Lebanon,2,0,0,0
Ledyard,0,0,0,0
Lisbon,0,0,0,0
Litchfield,2,0,0,0
Lyme,0,0,0,0
Madison,0,0,0,0
Manchester,20,9,6,2
Mansfield,1,0,0,0
Marlborough,0,0,0,0
Meriden,75,21,11,5
Middlebury,2,0,0,0
Middlefield,0,0,0,0
Middletown,23,3,1,0
Milford,7,1,0,0
Monroe,0,0,0,0
Montville,3,1,1,1
Morris,0,0,0,0
Naugatuck,14,5,0,0
New Britain,60,10,6,3
New Canaan,1,1,1,0
New Fairfield,1,0,0,0
New Hartford,0,0,0,0
New Haven,296,70,24,13
New London,31,6,1,1
New Milford,3,1,1,0
Newington,3,0,0,0
Newtown,4,1,0,0
Norfolk,1,0,0,0
North Branford,0,0,0,0
North Canaan,0,0,0,0
North Haven,3,1,1,1
North Stonington,3,0,0,0
Norwalk,43,10,3,3
Norwich,41,14,7,3
Old Lyme,3,1,0,0
Old Saybrook,1,0,0,0
Orange,0,0,0,0
Oxford,3,0,0,0
Plainfield,8,1,1,0
Plainville,4,0,0,0
Plymouth,1,1,0,0
Pomfret,4,0,0,0
Portland,1,0,0,0
Preston,0,0,0,0
Prospect,0,0,0,0
Putnam,7,0,0,0
Redding,0,0,0,0
Ridgefield,1,0,0,0
Rocky Hill,7,2,0,0
Roxbury,0,0,0,0
Salem,0,0,0,0
Salisbury,2,1,0,0
Scotland,1,0,0,0
Seymour,3,1,0,0
Sharon,2,0,0,0
Shelton,5,0,0,0
Sherman,0,0,0,0
Simsbury,2,1,0,0
Somers,1,1,1,1
South Windsor,4,1,0,0
Southbury,1,0,0,0
Southington,2,0,0,0
Sprague,3,0,0,0
Stafford,8,0,0,0
Stamford,40,8,1,0
Sterling,1,0,0,0
Stonington,6,1,0,0
Stratford,16,2,0,0
Suffield,2,0,0,0
Thomaston,2,0,0,0
Thompson,9,2,1,1
Tolland,1,0,0,0
Torrington,28,8,1,0
Trumbull,4,2,1,0
Union,1,0,0,0
Vernon,18,3,0,0
Voluntown,1,0,0,0
Wallingford,9,3,1,1
Warren,0,0,0,0
Washington,1,0,0,0
Waterbury,157,40,23,13
Waterford,0,0,0,0
Watertown,5,1,0,0
West Hartford,11,2,0,0
West Haven,31,15,10,2
Westbrook,3,0,0,0
Weston,0,0,0,0
Westport,1,0,0,0
Wethersfield,1,0,0,0
Willington,0,0,0,0
Wilton,1,0,0,0
Winchester,7,1,1,0
Windham,13,5,2,1
Windsor,4,1,0,0
Windsor Locks,3,2,2,2
Wolcott,0,0,0,0
Woodbridge,0,0,0,0
Woodbury,2,1,0,0
Woodstock,1,0,0,0
,,,,
