"","DepartmentName","Asian","Black","hispanic","Indian","middle.eastern","White.x","total","min","asian_p","black_p","hispanic_p","indian_p","mid_e_p","white_p","min_p","infraction_ticket","misdemeanor_summons","no_disposition","uniform_arrest","verbal_warning","written_warning","infraction_ticket_p","misdemeanor_summons_p","no_disposition_p","uniform_arrest_p","verbal_warning_p","written_warning_p","F","M","male_p","female_p","average_age","median_age","y16_21","y22_27","y28_31","y32_37","y38_41","y42_47","y48_51","y52_57","y58_61","y62_67","y68_71","y72_77","y78_81","y82_","y16_21_p","y22_27_p","y28_31_p","y32_37_p","y38_41_p","y42_47_p","y48_51_p","y52_57_p","y58_61_p","y62_67_p","y68_71_p","y72_77_p","y78_81_p","y82_p","CellPhone","DefectiveLights","DisplayofPlates","EquipmentViolation","MovingViolation","Other","Registration","Seatbelt","SpeedRelated","StopSign","SuspendedLicense","TrafficControlSignal","WindowTint","CellPhone_p","DefectiveLights_p","DisplayofPlates_p","EquipmentViolation_p","MovingViolation_p","Other_p","Registration_p","Seatbelt_p","SpeedRelated_p","StopSign_p","SuspendedLicense_p","TrafficControlSignal_p","WindowTint_p","August","July","December","February","January","May","October","June","April","March","November","September","Sun","Mon","Tues","Wed","Thurs","Fri","Sat","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","not.resident","resident","resident_p","not.resident_p","not.resident_b_p","resident_b_p","not.resident_h_p","resident_h_p","not.resident_m_p","resident_m_p","not.searched","searched","searched_p","not.searched_p","Minority.x","White.y","blind.enforcement","general.enforcement","spot.check","general.enforcement_p","blind.enforcement_p","spot.check_p","Minority.y","White.x.1","Minority","White.y.1","fbi_name","population","total_leo","total_officers","total_civilians","violent_crime","murder_manslaughter","rape","robbery","aggravated_robbery","property_crime","burglary","larceny_theft","motor_vehicle_theft","arson","leo_per_capita","officers_per_capita","civ_per_capita","violent_crime_pc","murder_manslaughter_pc","rape_pc","robbery_pc","aggravated_robbery_pc","property_crime_pc","burglary_pc","larceny_theft_pc","motor_vehicle_theft_pc","arson_pc","Black_total","black_over_15_men","black_over_15_women","black_over_15","Hispanic_total","hispanic_over_15_men","hispanic_over_15_women","hispanic_over_15","White_total","white_over_15_men","white_over_15_women","white_over_15","ct_over_15_men","ct_over_15_women","ct_over_15","minorities_over_15","b_t_s_diff","h_t_s_diff","minorities_p","m_t_s_diff","black_over_15_p","hispanic_over_15_p","minorities_over_15_p","b_t_s_pop_diff","h_t_s_pop_diff","m_t_s_pop_diff","b_distance","h_distance","m_distance","res_diff_m","res_ratio_m","res_diff_b","res_ratio_b","res_diff_h","res_ratio_h","edp_m","edp_b","edp_h","edp_m_diff","edp_b_diff","edp_h_diff","edp_m_ratio","edp_b_ratio","edp_h_ratio"
"1","Ansonia",33,795,524,6,850,2366,4574,2208,0.72,17.38,11.46,0.13,18.58,51.73,48.27,1572,170,59,42,2716,15,34.37,3.72,1.29,0.92,59.38,0.33,1891,2683,58.66,41.34,37,34,508,882,556,647,363,504,328,352,160,157,48,41,15,13,11.11,19.28,12.16,14.15,7.94,11.02,7.17,7.7,3.5,3.43,1.05,0.9,0.33,0.28,693,555,121,19,194,302,139,92,1157,857,38,396,11,12.76,10.22,2.23,0.35,3.57,5.56,2.56,1.69,21.3,15.78,0.7,7.29,0.2,420,499,247,326,337,318,484,450,420,426,365,282,400,698,761,754,727,700,534,360,144,53,27,5,114,453,32,124,158,164,187,126,126,97,168,393,438,337,300,267,247,134,120,2874,1700,37.17,62.83,56.6,43.4,68.89,31.11,59.42,40.58,4423,151,3.3,96.7,2.08,1.22,1178,3377,19,73.83,25.75,0.42,0.2,0.22,10.82,14.93,"Ansonia",18964,54,46,8,36,0,6,18,12,372,62,280,30,2,28.48,24.26,4.22,18.98,0,3.16,9.49,6.33,196.16,32.69,147.65,15.82,1.05,1574,365,698,1063,4323,1596,1359,2955,12748,5280,5777,11057,7446,8046,15492,4435,2.84,-0.489999999999998,48.27,17.23,5.61,15.58,23.39,-2.4,5.2,0.78,5.24,-5.69,16.45,17.19,1.73,37.79,7.74,15.53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Avon",45,117,87,2,38,1169,1458,289,3.09,8.02,5.97,0.14,2.61,80.18,19.82,233,20,140,13,674,378,15.98,1.37,9.6,0.89,46.23,25.93,543,915,62.76,37.24,40,39,204,211,128,148,100,176,129,161,68,68,20,21,15,9,13.99,14.47,8.78,10.15,6.86,12.07,8.85,11.04,4.66,4.66,1.37,1.44,1.03,0.62,31,252,13,2,103,259,124,4,454,117,1,97,1,1.97,16,0.83,0.13,6.54,16.44,7.87,0.25,28.83,7.43,0.06,6.16,0.06,143,136,108,79,98,175,88,102,179,132,56,162,184,194,220,211,211,229,209,142,66,20,12,12,12,11,39,56,70,73,72,37,65,31,22,74,96,80,39,103,166,82,78,1047,411,28.19,71.81,88.03,11.97,87.36,12.64,76.12,23.88,1448,10,0.69,99.31,0.21,0.48,559,871,28,59.74,38.34,1.92,0.27,1.65,8.23,30.11,"Avon",18441,39,31,8,2,0,1,0,1,170,20,142,8,1,21.15,16.81,4.34,1.08,0,0.54,0,0.54,92.19,10.85,77,4.34,0.54,76,2,55,57,472,170,106,276,16018,6047,6858,12905,6821,7634,14455,1550,-6.52,-5.98,19.82,-11.22,0.31,1.5,8.41,-7.7,-8.88,-14.2,1.18,2.9,2.98,15.47,2.84,11.66,38.61,11.14,8.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Berlin",77,602,749,13,129,4213,5783,1570,1.33,10.41,12.95,0.22,2.23,72.85,27.15,2664,274,112,21,906,1806,46.07,4.74,1.94,0.36,15.67,31.23,2152,3631,62.79,37.21,40,37,534,939,613,814,433,701,422,536,281,264,105,85,22,34,9.23,16.24,10.6,14.08,7.49,12.12,7.3,9.27,4.86,4.57,1.82,1.47,0.38,0.59,1282,412,132,6,432,501,490,418,971,240,63,832,4,21.29,6.84,2.19,0.1,7.17,8.32,8.14,6.94,16.12,3.98,1.05,13.81,0.07,577,563,422,218,345,681,349,394,892,522,466,354,474,715,854,945,1116,1043,636,449,186,63,16,18,59,124,82,186,214,395,349,234,267,180,272,692,542,393,209,185,151,141,376,4527,1256,21.72,78.28,94.52,5.48,94.13,5.87,92.68,7.32,5638,145,2.51,97.49,1.31,1.19,1092,3869,822,66.9,18.88,14.21,3.42,10.79,5.1,13.78,"Berlin",20767,55,42,13,11,0,3,1,7,298,57,222,19,3,26.48,20.22,6.26,5.3,0,1.44,0.48,3.37,143.5,27.45,106.9,9.15,1.44,197,54,45,99,569,224,280,504,18796,7759,7841,15600,8331,8453,16784,1184,-4.13,1,27.15,-3.89,0.48,2.43,5.7,-7.53,-7.95,-16.91,3.4,8.95,13.02,1.62,1.28,5,11.42,3.44,2.42,NA,3.47,6.49,NA,6.94,6.46,NA,3,2
"4","Bethel",67,195,383,NA,23,2571,3239,668,2.07,6.02,11.82,NA,0.71,79.38,20.62,978,59,8,15,407,1772,30.19,1.82,0.25,0.46,12.57,54.71,1258,1981,61.16,38.84,40,38,350,566,268,388,261,378,232,353,163,152,54,33,19,22,10.81,17.47,8.27,11.98,8.06,11.67,7.16,10.9,5.03,4.69,1.67,1.02,0.59,0.68,563,138,58,5,94,193,108,262,1056,410,11,311,30,15.43,3.78,1.59,0.14,2.58,5.29,2.96,7.18,28.94,11.24,0.3,8.52,0.82,293,219,209,171,233,603,259,145,465,300,230,112,275,497,489,545,537,522,374,49,72,22,4,7,34,104,100,329,474,322,179,129,224,193,41,145,207,193,84,74,117,112,24,2193,1046,32.29,67.71,85.64,14.36,77.55,22.45,78.74,21.26,3217,22,0.68,99.32,0.22,0.46,1030,1620,589,50.02,31.8,18.18,3.12,15.07,6.42,25.38,"Bethel",19425,49,37,12,0,0,0,0,0,164,22,135,7,0,25.23,19.05,6.18,0,0,0,0,0,84.43,11.33,69.5,3.6,0,293,138,103,241,1301,392,517,909,16233,6450,7059,13509,7469,8110,15579,2070,-8.52,-0.129999999999999,20.62,-10.42,1.24,4.68,10.66,-6.77,-5.7,-11.95,-1.75,5.57,1.53,10.6,1.99,13.12,11.58,17.77,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Bloomfield",30,2762,353,15,124,1957,5241,3284,0.57,52.7,6.74,0.29,2.37,37.34,62.66,1084,245,97,67,780,2968,20.68,4.67,1.85,1.28,14.88,56.63,1996,3245,61.92,38.08,40,37,483,1058,475,640,349,501,412,524,285,285,99,78,28,24,9.22,20.19,9.06,12.21,6.66,9.56,7.86,10,5.44,5.44,1.89,1.49,0.53,0.46,425,740,318,10,320,307,45,107,1266,636,24,1002,41,7.23,12.59,5.41,0.17,5.44,5.22,0.77,1.82,21.54,10.82,0.41,17.05,0.7,398,478,474,311,428,495,311,372,534,529,517,394,548,672,880,866,698,824,753,346,227,156,67,37,79,47,114,255,237,175,176,110,81,34,217,490,563,463,375,326,321,139,206,3524,1717,32.76,67.24,53.22,46.78,79.6,20.4,57.4,42.6,5091,150,2.86,97.14,2.37,0.5,20,4856,365,92.65,0.38,6.96,5.23,1.74,0.23,0.15,"Bloomfield",20718,61,48,13,39,0,6,12,21,503,79,402,22,1,29.44,23.17,6.27,18.82,0,2.9,5.79,10.14,242.78,38.13,194.03,10.62,0.48,11380,4710,5056,9766,1073,323,485,808,7026,3017,3681,6698,8303,9714,18017,11319,38.16,-5.21,62.66,31.62,47.14,3.9,54.63,39.13,-6.48,32.02,-0.97,1.27,-0.4,-12.03,0.78,-0.36,0.99,16.5,5.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Branford",10,268,344,4,10,4389,5025,636,0.2,5.33,6.85,0.08,0.2,87.34,12.66,3082,352,212,15,1361,3,61.33,7,4.22,0.3,27.08,0.06,2041,2984,59.38,40.62,42,41,331,726,494,670,319,642,394,583,288,290,124,91,30,43,6.59,14.45,9.83,13.33,6.35,12.78,7.84,11.6,5.73,5.77,2.47,1.81,0.6,0.86,887,187,39,3,292,510,1226,46,439,196,109,1074,17,16.99,3.58,0.75,0.06,5.59,9.77,23.48,0.88,8.41,3.75,2.09,20.57,0.33,488,459,436,323,303,444,543,407,508,337,468,309,236,388,835,988,913,913,752,80,130,74,47,11,42,314,323,184,382,495,505,459,342,302,171,193,199,184,159,130,126,110,63,3167,1858,36.98,63.02,78.73,21.27,81.1,18.9,79.72,20.28,4928,97,1.93,98.07,0.48,1.45,672,4350,3,86.57,13.37,0.06,NA,0.06,1.47,11.9,"Branford",27977,62,50,12,25,1,0,8,16,661,54,584,23,1,22.16,17.87,4.29,8.94,0.36,0,2.86,5.72,236.27,19.3,208.74,8.22,0.36,335,88,189,277,1467,473,437,910,24719,9911,11847,21758,11009,13166,24175,2417,-9.21,-5.1,12.66,-18.38,0.99,3.25,8.64,-7.02,-7.13,-13.97,-2.19,2.03,-4.41,11.64,2.35,20.28,21.48,15.65,5.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Bridgeport",68,2033,1536,11,85,1870,5603,3733,1.21,36.28,27.41,0.2,1.52,33.37,66.63,3641,338,32,67,1287,238,64.98,6.03,0.57,1.2,22.97,4.25,2031,3572,63.75,36.25,37,35,502,1120,683,849,636,605,325,401,167,185,63,38,12,17,8.96,19.99,12.19,15.15,11.35,10.8,5.8,7.16,2.98,3.3,1.12,0.68,0.21,0.3,1458,198,144,27,304,484,113,670,595,794,62,690,64,22.79,3.1,2.25,0.42,4.75,7.57,1.77,10.47,9.3,12.41,0.97,10.79,1,687,345,519,165,233,907,350,475,1070,172,397,283,359,807,839,1077,855,752,914,149,127,93,45,31,20,27,36,143,458,379,423,295,271,269,252,442,685,635,255,164,169,146,89,1318,4285,76.48,23.52,17.56,82.44,13.87,86.13,16.9,83.1,5127,476,8.5,91.5,7.28,1.21,200,4881,522,87.11,3.57,9.32,5.43,3.89,2.28,1.29,"Bridgeport",147822,442,389,53,1338,11,92,546,689,4285,1129,2402,754,32,29.9,26.32,3.59,90.51,0.74,6.22,36.94,46.61,289.88,76.38,162.49,51.01,2.16,53188,18019,22201,40220,57030,20689,21120,41809,31048,13733,14515,28248,55225,60326,115551,87303,21.74,15.46,66.63,35.59,27.21,28.28,59.06,19.2,17.9,36.45,2.54,-2.44,-0.86,24.04,1.41,55.23,3.03,57.85,3.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Bristol",60,558,759,16,26,4825,6244,1419,0.96,8.94,12.16,0.26,0.42,77.27,22.73,2096,389,376,95,580,2708,33.57,6.23,6.02,1.52,9.29,43.37,2349,3895,62.38,37.62,37,34,781,1212,740,882,480,713,409,499,191,201,64,43,14,15,12.51,19.41,11.85,14.13,7.69,11.42,6.55,7.99,3.06,3.22,1.02,0.69,0.22,0.24,862,573,138,15,316,361,732,418,1491,614,107,601,16,12.57,8.36,2.01,0.22,4.61,5.26,10.67,6.1,21.74,8.95,1.56,8.76,0.23,641,519,443,330,432,676,382,483,832,588,598,320,558,707,763,810,1269,1266,871,390,234,121,47,28,57,108,70,169,243,279,215,118,106,83,180,552,540,613,515,502,499,316,259,3389,2855,45.72,54.28,54.3,45.7,52.04,47.96,53.42,46.58,6127,117,1.87,98.13,0.9,0.98,1304,4574,366,73.25,20.88,5.86,1.31,4.55,4.21,16.67,"Bristol",60590,146,122,24,72,3,11,35,23,1513,335,1079,99,5,24.1,20.14,3.96,11.88,0.5,1.82,5.78,3.8,249.71,55.29,178.08,16.34,0.83,1911,898,659,1557,6476,2287,1922,4209,49770,20028,22507,42535,24038,25893,49931,7396,-5.6,0.210000000000001,22.73,-8.31,2.57,6.95,12.21,-5.44,-3.43,-10.4,-0.16,3.64,2.09,34.37,3.81,43.13,17.78,41.01,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Brookfield",NA,96,151,34,15,1730,2026,296,NA,4.74,7.45,1.68,0.74,85.39,14.61,603,61,31,11,656,664,29.76,3.01,1.53,0.54,32.38,32.77,841,1185,58.49,41.51,41,40,220,333,165,200,150,263,158,227,119,90,40,33,13,15,10.86,16.44,8.14,9.87,7.4,12.98,7.8,11.2,5.87,4.44,1.97,1.63,0.64,0.74,567,272,20,3,173,64,69,44,481,145,13,174,1,26.12,12.53,0.92,0.14,7.97,2.95,3.18,2.03,22.16,6.68,0.6,8.01,0.05,270,135,148,90,105,166,202,167,291,145,139,168,220,284,278,335,286,266,357,121,71,38,12,11,37,32,28,81,100,124,95,72,86,64,99,181,173,115,87,117,164,66,52,1422,604,29.81,70.19,82.29,17.71,82.12,17.88,81.08,18.92,1995,31,1.53,98.47,0.49,1.04,212,1759,55,86.82,10.46,2.71,0.39,2.32,1.53,8.93,"Brookfield",16957,43,33,10,3,0,0,2,1,162,19,139,4,0,25.36,19.46,5.9,1.77,0,0,1.18,0.59,95.54,11.2,81.97,2.36,0,120,53,34,87,735,298,131,429,14684,5913,6331,12244,6704,6968,13672,1428,-9.8,-4.5,14.61,-16.43,0.51,2.53,8.42,-7.5,-7.85,-14.19,-2.3,3.35,-2.24,10.5,2.25,17.2,34.73,15.35,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","CAPITOL POLICE",8,63,49,NA,3,108,231,123,3.46,27.27,21.21,NA,1.3,46.75,53.25,40,6,2,NA,174,9,17.32,2.6,0.87,NA,75.32,3.9,93,138,59.74,40.26,42,38,11,40,20,40,14,21,16,25,16,20,5,1,1,1,4.76,17.32,8.66,17.32,6.06,9.09,6.93,10.82,6.93,8.66,2.16,0.43,0.43,0.43,1,53,3,NA,58,15,1,NA,1,3,NA,95,1,0.43,22.65,1.28,NA,24.79,6.41,0.43,NA,0.43,1.28,NA,40.6,0.43,19,29,15,8,15,17,27,13,27,17,27,17,1,44,37,44,56,45,4,8,2,7,NA,2,24,41,7,11,12,14,11,11,11,6,7,12,8,4,5,11,12,5,NA,161,70,30.3,69.7,58.73,41.27,44.9,55.1,53.66,46.34,228,3,1.3,98.7,1.3,NA,2,229,NA,99.13,0.87,NA,NA,NA,0.43,0.43,"State Capitol Police",NA,NA,NA,NA,1,0,0,1,0,4,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.73,9.26,53.25,22.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
