"","town","poll_num","roque_m","roque_a","roque_t","clinton_m","clinton_a","clinton_t","sanders_m","sanders_a","sanders_t","uncom_m","uncom_a","uncom_t","names_registry","checked_voted","overseas","polling","absentee","edr","total_votes"
"2","Andover","Grand Total for Town","1","0","1","141","4","145","254","5","259","13","0","13","0","0","0","409","9","0","418"
"10","Ansonia","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Ashford","Grand Total for Town","3","0","3","205","7","212","360","17","377","6","0","6","1,013","598","0","574","24","0","598"
"16","Avon","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Barkhamsted","Grand Total for Town","2","0","2","131","6","137","201","9","210","4","0","4","724","339","1","338","15","0","353"
"20","Beacon Falls","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Berlin","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","Bethany","Grand Total for Town","2","0","2","305","5","310","353","23","376","10","0","10","0","0","0","670","28","0","698"
"30","Bethel","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","3,214","1,603","0","0","0","0","0"
"32","Bethlehem","Grand Total for Town","0","0","0","144","0","144","226","0","226","11","0","11","0","0","0","381","0","0","381"
"38","Bloomfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","Bolton","Grand Total for Town","2","0","2","246","5","251","334","16","350","15","0","15","1,042","596","0","597","21","0","618"
"42","Bozrah","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","Branford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2494","Bridgeport","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","Bridgewater","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326","Bristol","Grand Total for Town","21","5","26","2,148","87","2,235","2,641","94","2,735","93","8","101","0","0","0","4,903","194","0","5,097"
"92","Brookfield","Grand Total for Town","2","0","2","573","25","598","574","46","620","20","2","22","0","0","0","1,169","73","0","1,242"
"94","Brooklyn","Grand Total for Town","1","1","2","216","9","225","301","14","315","13","3","16","0","0","0","531","27","0","558"
"96","Burlington","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","Canaan","Grand Total for Town","0","0","0","52","2","54","114","12","126","2","0","2","293","168","0","168","14","0","182"
"1001","Canterbury","Grand Total for Town","1","0","1","131","2","133","201","11","212","6","0","6","0","0","0","339","13","0","352"
"1021","Canton","Grand Total for Town","6","0","6","512","28","540","630","44","674","22","0","22","0","0","0","1,170","72","0","1,242"
"104","Chaplin","Grand Total for Town","0","0","0","69","0","69","140","0","140","5","0","5","0","0","0","214","0","0","214"
"112","Cheshire","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","Chester","Grand Total for Town","0","1","1","256","21","277","339","22","361","7","0","7","995","646","3","602","44","0","646"
"116","Clinton","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","2,684","1,377","0","0","0","0","0"
"119","Colchester","Grand Total for Town","6","0","6","596","28","624","946","31","977","19","1","20","0","0","0","1,567","60","0","1,627"
"121","Colebrook","Grand Total for Town","2","0","2","53","0","53","85","1","86","7","0","7","0","0","0","147","1","0","148"
"123","Columbia","Grand Total for Town","3","0","3","258","9","267","397","11","408","7","0","7","1,248","686","0","665","20","0","685"
"125","Cornwall","Grand Total for Town","0","0","0","115","26","141","183","16","199","1","0","1","440","341","6","299","42","0","341"
"127","Coventry","Grand Total for Town","2","0","2","521","0","521","761","0","761","10","0","10","2,371","1,294","0","1,294","0","0","1,294"
"129","Cromwell","Grand Total for Town","6","0","6","731","0","731","718","0","718","33","0","33","0","0","0","1,488","0","0","1,488"
"137","Danbury","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Darien","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Deep River","Grand Total for Town","0","0","0","230","12","242","327","12","339","6","0","6","0","0","0","563","24","0","587"
"155","Derby","Grand Total for Town","6","0","6","436","23","459","475","18","493","23","0","23","2,297","940","0","940","41","0","981"
"152","Durham","Grand Total for Town","1","1","2","288","14","302","379","29","408","6","2","8","0","0","0","674","46","0","720"
"1541","East Granby","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"156","East Haddam","Grand Total for Town","5","0","5","377","30","407","547","23","570","11","2","13","0","0","0","940","55","0","995"
"158","East Hampton","Grand Total for Town","2","0","2","492","14","506","694","44","738","19","1","20","0","0","0","1,207","59","0","1,266"
"160","East Hartford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"189","East Haven","Grand Total for Town","8","0","8","879","58","937","894","21","915","37","9","46","0","0","0","1,818","88","0","1,906"
"176","East Lyme","Grand Total for Town","3","0","3","959","54","1,013","916","61","977","21","3","24","3,658","1,899","0","1,899","118","0","2,017"
"187","East Windsor","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"181","Eastford","Grand Total for Town","1","0","1","61","1","62","114","3","117","3","0","3","0","0","0","179","4","0","183"
"183","Easton","Grand Total for Town","3","0","3","379","15","394","297","16","313","8","0","8","1,275","688","0","687","31","0","718"
"1861","Ellington","Grand Total for Town","3","0","3","484","15","499","632","15","647","11","0","11","0","0","0","1,130","30","0","1,160"
"188","Enfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"190","Essex","Grand Total for Town","1","0","1","485","28","513","434","24","458","13","0","13","0","0","0","933","52","0","985"
"201","Fairfield","Grand Total for Town","7","4","11","3,307","198","3,505","2,224","134","2,358","34","3","37","11,210","5,569","0","5,572","339","0","5,911"
"227","Farmington","Grand Total for Town","14","0","14","1,237","65","1,302","1,216","62","1,278","36","1","37","0","0","0","2,503","128","0","2,631"
"2121","Franklin","Grand Total for Town","0","0","0","55","1","56","96","4","100","7","0","7","361","163","0","158","5","0","163"
"219","Glastonbury","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Granby","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"249","Greenwich","Grand Total for Town","8","1","9","3,001","205","3,206","1,325","118","1,443","45","5","50","8,470","4,661","0","4,379","329","0","4,708"
"240","Griswold","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2481","Groton","Grand Total for Town","2","0","2","1,262","70","1,332","1,457","79","1,536","30","2","32","5,556","2,754","1","2,751","151","0","2,902"
"2541","Guilford","Grand Total for Town","7","0","7","1,718","94","1,812","1,375","108","1,483","19","2","21","0","0","0","3,119","204","0","3,323"
"258","Haddam","Grand Total for Town","4","0","4","417","20","437","565","39","604","20","2","22","0","0","0","1,006","61","0","1,067"
"260","Hamden","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"262","Hampton","Grand Total for Town","1","0","1","111","0","111","133","4","137","3","0","3","406","251","0","248","4","0","252"
"287","Hartford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Hartland","Grand Total for Town","0","0","0","47","4","51","108","5","113","2","0","2","354","166","0","157","9","0","166"
"291","Harwinton","Grand Total for Town","1","0","1","177","0","177","274","0","274","8","0","8","0","0","0","460","0","0","460"
"293","Hebron","Grand Total for Town","1","0","1","415","0","415","528","0","528","15","0","15","1,887","960","0","959","0","0","959"
"295","Kent","Grand Total for Town","0","0","0","242","22","264","266","13","279","1","0","1","0","0","0","509","35","0","544"
"301","Killingly","Grand Total for Town","0","0","0","306","13","319","552","15","567","23","0","23","2,512","885","1","881","28","0","909"
"303","Killingworth","Grand Total for Town","1","1","2","328","28","356","338","19","357","5","2","7","0","0","0","672","50","0","722"
"305","Lebanon","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"309","Ledyard","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312","Lisbon","Grand Total for Town","4","0","4","138","7","145","220","11","231","10","1","11","573","304","0","372","19","0","391"
"317","Litchfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"319","Lyme","Grand Total for Town","0","0","0","206","0","206","188","0","188","1","0","1","0","0","0","395","0","0","395"
"322","Madison","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"331","Manchester","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"336","Mansfield","Grand Total for Town","3","0","3","986","65","1,051","2,090","81","2,171","14","1","15","0","0","0","3,093","147","0","3,240"
"338","Marlborough","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"352","Meriden","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"354","Middlebury","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"356","Middlefield","Grand Total for Town","1","0","1","186","8","194","264","13","277","5","0","5","980","456","0","456","21","0","477"
"371","Middletown","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1087","Milford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380","Monroe","Grand Total for Town","3","0","3","622","21","643","624","44","668","24","2","26","2,603","1,273","1","1,273","67","0","1,340"
"387","Montville","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","2,706","1,224","0","0","0","0","0"
"389","Morris","Grand Total for Town","1","0","1","87","3","90","116","6","122","3","0","3","0","0","0","207","9","0","216"
"391","Naugatuck","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","5,717","2,027","0","0","0","0","0"
"487","New Britain","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","New Canaan","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413","New Fairfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","New Hartford","Grand Total for Town","0","0","0","241","14","255","429","16","445","17","1","18","0","0","0","687","31","0","718"
"420","New London","Grand Total for Town","10","0","10","1,121","35","1,156","1,310","33","1,343","28","0","28","1,401","452","9","2,469","68","0","2,537"
"428","New Millford","Grand Total for Town","1","0","1","165","53","218","203","54","257","8","0","8","0","0","0","377","107","0","484"
"437","Newington","Grand Total for Town","13","0","13","1,381","79","1,460","1,452","55","1,507","72","5","77","0","0","0","2,918","139","0","3,057"
"529","Newtown","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"443","Norfolk","Grand Total for Town","0","0","0","117","12","129","133","8","141","3","0","3","0","0","0","253","20","0","273"
"446","North Branford","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4481","North Canaan","Grand Total for Town","1","0","1","84","13","97","172","14","186","3","0","3","0","0","0","260","27","0","287"
"469","North Haven","Grand Total for Town","2","0","2","1,033","47","1,080","962","41","1,003","27","0","27","0","0","0","2,024","88","0","2,112"
"459","North Stonington","Grand Total for Town","0","0","0","201","0","201","276","0","276","6","0","6","977","483","0","483","0","0","483"
"688","Norwalk","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"472","Norwich","Grand Total for Town","11","0","11","1,179","59","1,238","1,551","55","1,606","39","8","47","6,574","2,785","0","2,780","122","0","2,902"
"474","Old Lyme","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"477","Old Saybrook","Grand Total for Town","2","0","2","617","43","660","536","25","561","8","0","8","2,261","1,159","0","1,163","68","0","1,231"
"479","Orange","Grand Total for Town","1","0","1","680","0","680","529","0","529","15","0","15","2,574","1,225","0","1,225","0","0","1,225"
"481","Oxford","Grand Total for Town","3","0","3","289","13","302","390","15","405","8","0","8","0","0","0","690","28","0","718"
"494","Plainfield","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"488","Plainville","Grand Total for Town","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
